-,Unit,Line,Order No,Style Name,TGT,08-Sep,09-Oct,10-Nov,11-Dec,Dec-13,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,12-1(N),1-2(N),2-3(N),Total,Avg.Prod.
    ,JKL-U2-5,D3,2024/21997 CA::LEGGINGS,2235860 BO-APALAZZO-01 PAINTED PALM AOP,148,110,100,100,100,100,100,100,100,100,100,100,100,100,170,170,,,,1650,130
    ,JKL-U2-5,E1,2024/18165 NF::BOTTOM 1,858498 LADIES RADLER,234,180,180,180,180,180,170,160,170,160,170,170,140,150,125,125,,,,2440,205
    ,JKL-U2-5,E2,2024/18165 NF::BOTTOM 2,858498 LADIES RADLER,216,180,170,170,170,170,170,170,170,26,,,250,250,220,220,,,,2336,231
    ,JKL-U2-5,E2,2024/18170 NF::BOTTOM,859240 GIRLS RADLERS,225,,,,,,,,,144,170,170,,,,,,,,484,231
    ,JKL-U2-5,E3,2024/21968 CA::TANKTOP,2234649 + 2243391 SANURA,245,210,210,200,200,200,200,200,200,200,200,400,,,,,,,,2420,242
    ,JKL-U2-5,F1,2024/21997 CA::LEGGINGS,2235860 BO-APALAZZO-01 PAINTED PALM AOP,152,110,110,110,110,110,110,110,110,110,110,110,100,100,140,140,,,,1690,133
    ,JKL-U2-5,F3,2024/21968 CA::TANKTOP,2234649 + 2243391 SANURA,245,180,180,180,180,180,234,,,,,,,,,,,,,1134,197
    ,JKL-U2-5,F3,2024/24411 CA::TOP,2223782 Sydney 24 RN Solid M,159,,,,,,,160,160,160,160,160,140,160,145,195,,,,1440,197
  ,MC#390Op#369Hp#86Line#17     Total Production of JKL-U2-5,,,,4076,2670,2320,2330,2330,2320,2344,2390,2410,2460,2490,2610,2245,2255,1570,1630,0,0,0,34374,
  ,Scissoring (Op#2 / Hp#1),,,,"TOTAL OFT-Op#2, Hp#1",,,,,,,,,,,,,,,,,,,,
-,Unit,Line,Order No,Style Name,TGT,08-Sep,09-Oct,10-Nov,11-Dec,Dec-13,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,12-1(N),1-2(N),2-3(N),Total,Avg.Prod.
    ,FFL2-PADMA,17,2024/11188 CA::T2,2209174-07 5PCS TRUNK,386,400,409,,,,,,,,,,,,,,,,,809,395
    ,FFL2-PADMA,17,2024/16723 CA::T1,2223454-2142763-33 3 PCS TRUNK,371,,,400,318,289,240,,,,,,,,,,,,,1247,395
    ,FFL2-PADMA,17,2024/16754 CA::T1,2143265-2215066-33 5 PCS TRUNK,190,,,,,,253,,,,,,,,,,,,,253,395
    ,FFL2-PADMA,17,2024/18082 CA::T3,2143266-2215067-30 5PCS TRUNK,333,,,,,,,400,341,,,,,,,,,,,741,395
    ,FFL2-PADMA,18,2024/16814 CA::T1,2223465-2142803-36 5 PCS TRUNK,368,,280,400,400,400,400,,196,,,,,,,,,,,2076,399
    ,FFL2-PADMA,18,2024/21226 CA::T3,2231282-02 3PCS TRUNK,388,03-Feb,03-May,,,,,,,,,,,,,,,,,524,399
    ,FFL2-PADMA,19,2024/18023 CA::T3,2167501-2215076-30 3PCS TRUNK,395,300,400,800,400,400,400,200,200,,,,,,,,,,,3100,398
    ,FFL2-PADMA,20,2024/17266 NEXT::B5-PASTEL PARCHMENT AOP,E87094 HIPS 7P DITSY BLUE,344,180,250,306,,260,,,,,,,,,,,,,,996,307
    ,FFL2-PADMA,20,2024/17266 NEXT::B6-JET STEAM AOP,E87094 HIPS 7P DITSY BLUE,287,,,,,,253,400,411,,,,,,,,,,,1064,307
    ,FFL2-PADMA,21,2024/17642 CA::T1,2167502-2215077-31 3 PCS TRUNK,382,196,,,,,,,400,,,,,,,,,,,596,429
    ,FFL2-PADMA,21,2024/17906 CA::T2,2203413-2215089-14 3PCSTRUNK,382,400,400,400,,400,404,400,,,,,,,,,,,,2404,429
    ,FFL2-PADMA,22,2024/16766 CA::T1,2167497-2215075-32 3 PCS TRUNK,326,380,400,400,400,400,400,300,320,,,,,,,,,,,3000,375
    ,FFL2-PADMA,23,2024/11188 CA::T2,2209174-07 5PCS TRUNK,186,134,,,,,,,,,,,,,,,,,,134,396
    ,FFL2-PADMA,23,2024/11188 CA::T3,2209174-07 5PCS TRUNK,371,170,300,351,246,,,,,,,,,,,,,,,1067,396
    ,FFL2-PADMA,23,2024/11188 CA::T4,2209174-07 5PCS TRUNK,371,,100,,154,350,550,,445,,,,,,,,,,,1599,396
    ,FFL2-PADMA,24,2024/21279 CA::T-02,2230739-02 3PCS SLIP,230,300,350,300,350,320,150,150,160,100,100,100,,,,,,,,2380,278
  ,MC#170Op#176Hp#36Line#8     Total Production of FFL2-PADMA,,,,5310,2860,3013,3357,2268,2819,3050,1850,2473,100,100,100,0,0,0,0,0,0,0,21990,
  ,"Cutting Sticker Remove (Op#0 / Hp#2) , Elastic Turn over (Op#0 / Hp#2) , Scissoring (Op#0 / Hp#1)",,,,"TOTAL OFT-Op#0, Hp#5",,,,,,,,,,,,,,,,,,,,
-,Unit,Line,Order No,Style Name,TGT,08-Sep,09-Oct,10-Nov,11-Dec,Dec-13,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,12-1(N),1-2(N),2-3(N),Total,Avg.Prod.
    ,FFL2-MEGHNA,9,2024/11188 CA::T3,2209174-07 5PCS TRUNK,371,300,350,400,400,380,361,400,377,,,,,,,,,,,2968,425
    ,FFL2-MEGHNA,9,2024/17973 CA::T1,2142764-2223461-35 3PCS TRUNK,174,,,,,,100,,,432,,,,,,,,,,532,425
    ,FFL2-MEGHNA,10,2024/17896 CA::T2,2203410-2215088-14 3PCSTRUNK,66,186,,,,,,,,,,,,,,,,,,186,474
    ,FFL2-MEGHNA,10,2024/17896 CA::T3,2203410-2215088-14 3PCSTRUNK,382,24-Apr,15-Dec,14-Jan,14-Jan,Jan-01,380,380,344,,,,,,,,,,,2709,474
    ,FFL2-MEGHNA,10,2024/17906 CA::T3,2203413-2215089-14 3PCSTRUNK,132,105,,,,,,,,500,,,,,,,,,,605,474
    ,FFL2-MEGHNA,11,2024/19269 CA::B1- SIMPLY BLACK,2224411 MICRO HIPSTER 3 PCS..,401,180,200,200,220,230,250,260,270,250,252,488,,,,,,,,2800,324
    ,FFL2-MEGHNA,12,2024/19032 CA::B3-STORM WHITE,2224409 MICRO BRIEF 3PCS,414,,,,,,,,330,127,,,,,,,,,,457,438
    ,FFL2-MEGHNA,12,2024/22199 CA::B1-SIMPLY BLACK,2224409 MICRO BRIEF 3PCS..,414,290,300,370,370,370,380,450,,,,,,,,,,,,2530,438
    ,FFL2-MEGHNA,12,2024/22199 CA::B2-SIMPLY BLACK,2224409 MICRO BRIEF 3PCS..,224,29-May,,,,,63,,,,450,,,,,,,,,663,438
    ,FFL2-MEGHNA,13,2024/21056 CA::B1 CLASSIC BLACK,2229972 PISA 3PP FULL BRIEF(DRIED SAGE),379,200,250,250,260,270,280,300,300,300,280,410,,,,,,,,3100,364
    ,FFL2-MEGHNA,14,2024/11188 CA::T5,2209174-07 5PCS TRUNK,343,450,300,350,350,350,558,401,370,,,,,,,,,,,3129,461
    ,FFL2-MEGHNA,14,2024/18082 CA::T5,2143266-2215067-30 5PCS TRUNK,44,,,,,,,,,271,,,,,,,,,,271,461
    ,FFL2-MEGHNA,15,2024/15188 CA::B3- CLASSIC BLACK,2228011R5 KB BOXER 7 PCS,306,18-Jul,18-Jul,07-Aug,16-Sep,Aug-00,36,,,,,,,,,,,,,1142,243
    ,FFL2-MEGHNA,15,2024/15188 CA::B4- CLASSIC BLACK,2228011R5 KB BOXER 7 PCS,280,,,,,,230,200,250,150,178,,,,,,,,,1008,243
    ,FFL2-MEGHNA,16,2024/16814 CA::T5,2223465-2142803-36 5 PCS TRUNK,358,300,300,300,350,350,360,356,,,,,,,,,,,,2316,427
    ,FFL2-MEGHNA,16,2024/17906 CA::T1,2203413-2215089-14 3PCSTRUNK,341,,150,,,,150,,300,334,,,,,,,,,,934,427
  ,MC#165Op#165Hp#45Line#8     Total Production of FFL2-MEGHNA,,,,4629,2476,2400,2470,2590,2556,3148,2747,2541,2364,1160,898,0,0,0,0,0,0,0,25350,
  ,"Cutting Sticker Remove (Op#1 / Hp#3) , Working At Cutting (Op#2 / Hp#1) , Working At Finishing (Op#1 / Hp#3)",,,,"TOTAL OFT-Op#4, Hp#7",,,,,,,,,,,,,,,,,,,,
-,Unit,Line,Order No,Style Name,TGT,08-Sep,09-Oct,10-Nov,11-Dec,Dec-13,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,12-1(N),1-2(N),2-3(N),Total,Avg.Prod.
    ,FFL2-JAMUNA,1,2024/23036 HM::ALT 1 51-204,309914 ROSIE LIC BOXER 5PACK KG (PACK 2),471,300,300,370,380,354,300,350,354,,,,,,,,,,,2708,505
    ,FFL2-JAMUNA,1,2024/23036 HM::ALT 4 11-112AOP,309914 ROSIE LIC BOXER 5PACK KG (PACK 2),332,,,,,,,,,300,342,500,450,500,,,,,,2092,505
    ,FFL2-JAMUNA,2,2024/14413 HM::ALT 4 11-107AOP,556765 ROSIE BOXER KG 5PACK(PACK 4),191,,,,,,,,,180,200,500,506,,,,,,,1386,460
    ,FFL2-JAMUNA,2,2024/21090 HM::ALT 3 97-120,285346 ROSIE LIC BOXER 5PACK KG (PACK-6),91,,,,,,,,,,,,,199,,,,,,199,460
    ,FFL2-JAMUNA,2,2024/23036 HM::ALT 4 11-112AOP,309914 ROSIE LIC BOXER 5PACK KG (PACK 2),425,300,300,380,380,350,300,400,300,320,385,,,,,,,,,3415,460
    ,FFL2-JAMUNA,3,2024/11188 CA::T4,2209174-07 5PCS TRUNK,308,142,201,258,78,,,,,,,,,,,,,,,679,296
    ,FFL2-JAMUNA,3,2024/11188 CA::T5,2209174-07 5PCS TRUNK,157,,,,26-May,,,,,,,,,,,,,,,147,296
    ,FFL2-JAMUNA,3,2024/18057 CA::T1,2142765-2223590-28 3 PCS TRUNK,288,,,,,250,280,280,300,280,234,,,,,,,,,1624,296
    ,FFL2-JAMUNA,4,2024/20143 CA::B2-FLAME,2234631 TB MP PAW PATROL,72,,,,,,,,,,250,329,,,,,,,,579,338
    ,FFL2-JAMUNA,4,2024/20143 CA::B3-ESTATE BLUE,2234631 TB MP PAW PATROL,417,183,91,,,,,,,,,,,,,,,,,274,338
    ,FFL2-JAMUNA,4,2024/20143 CA::B7-SKYDIVER,2234631 TB MP PAW PATROL,417,,09-May,300,300,320,350,300,300,227,,,,,,,,,,2227,338
    ,FFL2-JAMUNA,5,2024/23612 NEXT::TOP,AB4628-1 CAMI L 5PK WHITE LAC-1,414,180,200,280,300,317,301,300,300,280,300,350,450,442,,,,,,4000,452
    ,FFL2-JAMUNA,6,2024/20430 CA::B1-LYCHEE AOP,2235333 TB BOXER SPIDERMAN 3XBOXER MF DOF 2225560,335,250,300,240,300,300,331,220,250,300,280,29,,,,,,,,2800,362
    ,FFL2-JAMUNA,7,2024/15449 NEXT::B7-WHITE ALYSSUM-1,E87111 BRF 10P AOP BLUE BOW,415,300,300,250,300,302,322,118,,,,,,,,,,,,1892,332
    ,FFL2-JAMUNA,7,2024/15449 NEXT::B9-WHITE ALYSSUM-2,E87111 BRF 10P AOP BLUE BOW,190,,,,,,,184,,,,,,,,,,,,184,332
